ANIO	NINIO	87007	87016	87047	87078	87097	87121	87129	87148	87162	87166	87178	87217	87222	87244	87257	87270	87289	87311	87320	87328	87344	87349	87371	87374	87393	87395	87418	87436	87448	87453	87467	87480	87497	87506	87509	87532	87534	87544	87548	87550	87563	87585	87593	87596	87623	87640	87641	87645	87679	87688	87692	87715	87750	87765	87774	87784	87803	87828	87860	87904	87909	87925	87144	1801	87791	87880	87934
2003	0.04	129.0	174.1	107.3	218.2	221.0	253.5	227.8	209.5	266.3	273.9	282.7	148.2	75.4	382.5	568.1	609.8	674.8	16.8	104.0	213.2	242.1	211.6	460.9	496.1	631.7	646.3	71.5	66.0	111.1	153.6	323.5	351.1	489.1	31.0	35.3	192.5	243.9	219.2	335.0	311.1	292.9	230.5	167.7	12.3	113.3	374.5	306.1	246.1	107.0	94.5	287.2	39.5	101.7	66.6	40.5	77.4	37.6	87.2	119.1	64.5	78.7	79.5	309.5	93.1	127.6	66.5	144.8
2004	0.09	51.0	315.5	95.8	239.0	542.0	345.3	108.7	193.8	231.8	173.8	295.9	55.0	61.9	193.6	194.8	409.9	245.4	56.4	110.0	293.1	201.1	200.5	378.6	460.1	284.7	300.0	136.5	266.5	302.5	391.2	293.9	317.5	316.3	155.8	116.9	230.6	432.7	147.9	281.0	235.8	233.6	353.9	284.6	268.0	187.1	153.0	178.4	186.1	182.1	163.7	231.9	104.4	242.5	177.7	48.3	236.7	197.7	46.9	41.5	30.3	28.0	36.9	209.3	382.5	196.8	36.2	46.6
2005	0.36	20.2	239.7	79.9	315.4	478.7	287.5	138.1	263.7	486.0	570.6	669.5	139.0	120.1	376.5	424.4	432.2	440.0	1.8	83.3	84.9	178.4	286.0	448.2	444.4	420.3	693.0	32.8	209.7	132.8	149.2	219.7	303.6	371.0	69.4	68.8	143.7	139.4	174.3	193.1	252.6	142.0	311.6	202.2	239.6	134.3	154.0	164.7	124.3	61.9	50.5	113.1	8.7	88.1	310.7	27.5	24.7	206.0	17.8	47.5	91.7	81.7	78.2	316.5	32.5	67.1	32.2	117.1
2006	-0.31	35.1	444.4	130.6	203.2	308.5	226.0	162.5	226.9	237.5	468.3	415.8	56.0	25.1	139.8	255.5	230.3	207.3	21.8	30.6	86.6	155.6	190.8	171.3	187.2	211.6	152.2	29.6	127.1	151.8	202.2	262.2	228.4	150.0	53.1	21.2	192.9	230.5	190.8	245.7	228.2	173.2	228.1	167.9	182.0	146.8	157.9	119.5	71.8	142.0	59.4	85.7	5.8	46.1	175.3	37.7	70.9	58.8	9.9	49.1	15.7	45.2	31.7	196.9	29.5	58.8	33.8	92.5
2007	-0.17	67.6	155.1	176.5	169.1	776.5	206.7	83.0	411.6	468.8	514.7	524.3	99.5	57.5	488.7	480.5	346.7	353.5	32.5	61.8	199.5	311.1	283.5	692.3	651.9	360.0	559.5	84.5	151.0	215.7	114.2	322.2	625.9	919.3	114.8	168.2	246.6	187.7	275.6	367.5	241.3	275.5	556.6	446.2	299.3	211.1	243.1	280.1	204.1	213.5	195.3	377.5	8.3	242.4	73.2	36.8	32.6	79.3	78.7	82.6	34.6	75.8	63.7	310.0	53.7	148.9	20.9	130.4
2008	-0.83	57.4	353.1	225.1	209.6	368.5	320.5	177.6	94.0	133.4	91.7	404.8	114.0	134.3	39.2	18.8	89.7	253.2	11.0	83.4	205.8	125.5	175.5	120.0	97.6	265.8	178.5	72.9	152.8	192.6	157.7	85.7	95.6	55.3	150.3	69.8	78.2	102.9	170.7	177.4	239.6	195.1	168.5	186.1	89.0	43.8	176.2	149.5	126.6	110.9	181.3	194.2	81.1	76.2	247.4	46.8	75.8	191.1	74.9	126.9	46.7	87.3	85.9	56.7	34.5	57.8	26.0	102.6
2009	-0.20	76.9	242.0	160.9	378.0	498.8	281.9	135.4	46.0	146.0	143.0	209.5	82.0	98.6	83.5	94.4	64.1	196.9	22.2	54.3	115.8	128.9	107.8	232.6	439.2	185.1	206.7	38.6	68.4	44.0	62.2	138.9	205.4	313.2	28.2	41.3	135.1	81.2	121.5	169.4	113.8	237.1	254.5	168.3	193.0	88.3	144.2	263.9	153.0	112.9	207.5	191.3	56.0	127.1	405.9	33.8	16.0	263.6	41.7	17.6	33.5	44.1	100.7	120.3	17.0	19.6	29.6	89.1
2010	0.56	37.3	113.3	212.2	374.5	700.0	186.5	138.4	463.5	378.9	388.6	353.0	105.0	23.5	123.5	302.0	365.6	317.0	21.8	110.0	251.0	370.0	120.4	272.0	457.0	406.1	232.0	19.2	130.8	114.0	112.0	229.0	248.9	351.2	49.0	50.0	147.5	96.2	206.0	206.6	139.0	289.6	324.0	250.0	272.0	244.5	242.0	202.0	233.0	153.0	167.1	264.2	34.4	113.6	85.0	11.0	103.0	67.0	43.7	27.9	21.9	46.0	34.0	295.2	85.0	165.0	15.0	67.8
2011	-0.68	84.6	157.3	191.0	332.6	231.6	179.7	158.8	247.0	214.5	237.2	252.4	68.0	62.5	140.2	254.7	193.0	249.9	12.0	12.1	101.2	61.6	97.0	339.2	312.0	258.0	364.4	21.6	124.0	145.6	140.2	255.0	380.0	243.9	18.0	47.4	228.5	144.8	273.0	241.0	170.1	157.6	188.8	133.7	116.0	206.0	217.1	128.1	128.5	218.9	142.0	104.0	19.2	154.5	137.6	16.1	22.0	87.8	15.7	133.0	36.1	54.5	64.5	0.0	133.1	74.1	22.8	96.4
2012	-0.24	58.1	191.0	168.2	409.9	451.0	224.0	170.9	177.9	383.0	263.5	242.4	32.2	76.0	104.7	228.0	321.0	186.5	2.2	52.0	106.0	103.6	52.1	234.4	253.0	193.5	179.0	15.0	58.0	273.0	154.1	208.0	253.1	321.0	81.0	33.0	360.0	333.8	411.0	280.0	419.6	307.3	311.0	193.6	181.0	131.7	440.9	358.0	267.4	286.4	247.3	292.0	17.2	108.1	169.2	43.0	90.2	82.0	12.6	63.0	69.7	74.8	92.1	0.0	133.1	205.1	30.4	80.6
